domain,name,iteration,size,span,ns,us
dotnet3,DllImportDirect,0,2560,00:00:00.0001687,65.89843750000001,0.06589843750000002
dotnet3,DllImportCustomMarshaller,0,2560,00:00:00.0011224,829.0624999999999,0.8290624999999999
dotnet3,ManagedStatic,0,5120,00:00:00.0000257,5.019531250000001,0.0050195312500000006
dotnet3,ManagedVirtual,0,5120,00:00:00.0000318,6.2109375,0.0062109375
dotnet3,DllImportDirect,0,5120,00:00:00.0003400,66.40625,0.06640625
dotnet3,DllImportCustomMarshaller,0,5120,00:00:00.0022109,822.4414062500001,0.8224414062500002
dotnet3,ManagedStatic,0,10240,00:00:00.0000514,5.019531250000001,0.0050195312500000006
dotnet3,ManagedVirtual,0,10240,00:00:00.0000636,6.2109375,0.0062109375
dotnet3,DllImportDirect,0,10240,00:00:00.0007803,76.201171875,0.076201171875
dotnet3,DllImportCustomMarshaller,0,10240,00:00:00.0044958,829.6679687499999,0.8296679687499999
dotnet3,ManagedStatic,0,20480,00:00:00.0001027,5.0146484375,0.0050146484375
dotnet3,ManagedVirtual,0,20480,00:00:00.0001274,6.220703125000001,0.006220703125000001
dotnet3,DllImportDirect,0,20480,00:00:00.0013940,116.89453125,0.11689453125
dotnet3,DllImportCustomMarshaller,0,20480,00:00:00.0092092,889.1210937500001,0.8891210937500001
dotnet3,ManagedStatic,0,40960,00:00:00.0002270,5.5419921875,0.005541992187500001
dotnet3,ManagedVirtual,0,40960,00:00:00.0002547,6.218261718750001,0.006218261718750001
dotnet3,DllImportDirect,0,40960,00:00:00.0027524,116.025390625,0.116025390625
dotnet3,DllImportCustomMarshaller,0,40960,00:00:00.0174974,842.2216796875,0.8422216796875
dotnet3,ManagedStatic,0,81920,00:00:00.0004538,5.539550781250001,0.00553955078125
dotnet3,ManagedVirtual,0,81920,00:00:00.0005092,6.2158203125,0.0062158203125
dotnet3,DllImportDirect,0,81920,00:00:00.0054351,127.38159179687499,0.127381591796875
dotnet3,DllImportCustomMarshaller,0,81920,00:00:00.0330782,806.6186523437501,0.8066186523437502
dotnet3,ManagedStatic,0,163840,00:00:00.0009076,5.539550781250001,0.00553955078125
dotnet3,ManagedVirtual,0,163840,00:00:00.0010372,12.434082031250002,0.012434082031250002
dotnet3,DllImportDirect,0,163840,00:00:00.0109016,127.5732421875,0.1275732421875
dotnet3,DllImportCustomMarshaller,0,163840,00:00:00.0661815,806.7718505859375,0.8067718505859375
dotnet3,ManagedStatic,0,327680,00:00:00.0016423,8.06365966796875,0.00806365966796875
dotnet3,ManagedVirtual,0,327680,00:00:00.0019945,9.138488769531252,0.009138488769531251
dotnet3,DllImportDirect,0,327680,00:00:00.0217309,130.40435791015628,0.13040435791015628
dotnet3,DllImportCustomMarshaller,0,327680,00:00:00.1312640,800.3662109375,0.8003662109375
dotnet3,ManagedStatic,0,655360,00:00:00.0034525,9.845733642578127,0.009845733642578127
dotnet3,ManagedVirtual,0,655360,00:00:00.0040760,12.322998046875002,0.012322998046875002
dotnet3,DllImportDirect,0,655360,00:00:00.0418614,126.43646240234375,0.12643646240234374
dotnet3,DllImportCustomMarshaller,0,655360,00:00:00.2629234,800.9695434570312,0.8009695434570312
dotnet3,ManagedStatic,0,1310720,00:00:00.0068782,9.825286865234375,0.009825286865234375
dotnet3,ManagedVirtual,0,1310720,00:00:00.0082683,12.411727905273438,0.012411727905273437
dotnet3,DllImportDirect,0,1310720,00:00:00.0835307,127.05284118652347,0.12705284118652346
dotnet3,DllImportCustomMarshaller,0,1310720,00:00:00.5270507,804.1768646240234,0.8041768646240234
