domain,name,iteration,size,span,ns,us
mono,ManagedStatic,1,20,00:00:00.0000001,5,0.005
mono,ManagedVirtual,1,20,00:00:00.0000002,10,0.01
mono,DllImportDirect,1,20,00:00:00.0000045,225,0.225
mono,DllImportCustomMarshaller,1,20,00:00:00.0000089,445,0.445
mono,ManagedStatic,1,40,00:00:00.0000002,5,0.005
mono,ManagedVirtual,1,40,00:00:00.0000003,7.5,0.0075
mono,DllImportDirect,1,40,00:00:00.0000088,220,0.22
mono,DllImportCustomMarshaller,1,40,00:00:00.0000372,930,0.93
mono,ManagedStatic,1,80,00:00:00.0000003,3.75,0.00375
mono,ManagedVirtual,1,80,00:00:00.0000005,6.25,0.00625
mono,DllImportDirect,1,80,00:00:00.0000305,381.25,0.38125
mono,DllImportCustomMarshaller,1,80,00:00:00.0000354,442.5,0.4425
mono,ManagedStatic,1,160,00:00:00.0000004,2.5,0.0025
mono,ManagedVirtual,1,160,00:00:00.0000008,5,0.005
mono,DllImportDirect,1,160,00:00:00.0000345,215.625,0.215625
mono,DllImportCustomMarshaller,1,160,00:00:00.0000709,443.125,0.443125
mono,ManagedStatic,1,320,00:00:00.0000008,2.5,0.0025
mono,ManagedVirtual,1,320,00:00:00.0000015,4.6875,0.0046875
mono,DllImportDirect,1,320,00:00:00.0000689,215.3125,0.2153125
mono,DllImportCustomMarshaller,1,320,00:00:00.0001395,435.9375,0.4359375
mono,ManagedStatic,1,640,00:00:00.0000016,2.5,0.0025
mono,ManagedVirtual,1,640,00:00:00.0000029,4.53125,0.00453125
mono,DllImportDirect,1,640,00:00:00.0001383,216.09375,0.21609375
mono,DllImportCustomMarshaller,1,640,00:00:00.0002820,440.625,0.440625
mono,ManagedStatic,1,1280,00:00:00.0000031,2.421875,0.002421875
mono,ManagedVirtual,1,1280,00:00:00.0000058,4.53125,0.00453125
mono,DllImportDirect,1,1280,00:00:00.0002753,215.078125,0.215078125
mono,DllImportCustomMarshaller,1,1280,00:00:00.0005606,437.96875,0.43796875
mono,ManagedStatic,1,2560,00:00:00.0000062,2.421875,0.002421875
mono,ManagedVirtual,1,2560,00:00:00.0000116,4.53125,0.00453125
mono,DllImportDirect,1,2560,00:00:00.0005477,213.9453125,0.2139453125
mono,DllImportCustomMarshaller,1,2560,00:00:00.0011182,827.421875,0.827421875
mono,ManagedStatic,1,5120,00:00:00.0000123,2.40234375,0.00240234375
mono,ManagedVirtual,1,5120,00:00:00.0000230,4.4921875,0.0044921875
mono,DllImportDirect,1,5120,00:00:00.0010982,409.8046875,0.4098046875
mono,DllImportCustomMarshaller,1,5120,00:00:00.0022541,830.87890625,0.83087890625
mono,ManagedStatic,1,10240,00:00:00.0000244,2.3828125,0.0023828125
mono,ManagedVirtual,1,10240,00:00:00.0000460,4.4921875,0.0044921875
mono,DllImportDirect,1,10240,00:00:00.0022436,414.4140625,0.4144140625
mono,DllImportCustomMarshaller,1,10240,00:00:00.0045397,833.955078125,0.833955078125
mono,ManagedStatic,1,20480,00:00:00.0000487,2.3779296875,0.0023779296875
mono,ManagedVirtual,1,20480,00:00:00.0000919,4.4873046875,0.0044873046875
mono,DllImportDirect,1,20480,00:00:00.0044164,410.95703125,0.41095703125
mono,DllImportCustomMarshaller,1,20480,00:00:00.0089199,826.1669921875,0.8261669921875
mono,ManagedStatic,1,40960,00:00:00.0000974,2.3779296875,0.0023779296875
mono,ManagedVirtual,1,40960,00:00:00.0001838,4.4873046875,0.0044873046875
mono,DllImportDirect,1,40960,00:00:00.0087643,409.28466796875,0.40928466796875
mono,DllImportCustomMarshaller,1,40960,00:00:00.0178448,850.703125,0.850703125
mono,ManagedStatic,1,81920,00:00:00.0001946,2.37548828125,0.00237548828125
mono,ManagedVirtual,1,81920,00:00:00.0003459,4.222412109375,0.004222412109375
mono,DllImportDirect,1,81920,00:00:00.0175998,422.36083984375,0.42236083984375
mono,DllImportCustomMarshaller,1,81920,00:00:00.0355350,861.02294921875,0.86102294921875
mono,ManagedStatic,1,163840,00:00:00.0003909,2.3858642578125,0.0023858642578125
mono,ManagedVirtual,1,163840,00:00:00.0007348,4.48486328125,0.00448486328125
mono,DllImportDirect,1,163840,00:00:00.0350689,427.666625976563,0.427666625976563
mono,DllImportCustomMarshaller,1,163840,00:00:00.0721312,879.70703125,0.87970703125
mono,ManagedStatic,1,327680,00:00:00.0007780,2.374267578125,0.002374267578125
mono,ManagedVirtual,1,327680,00:00:00.0014695,7.53631591796875,0.00753631591796875
mono,DllImportDirect,1,327680,00:00:00.0701457,427.690734863281,0.427690734863281
mono,DllImportCustomMarshaller,1,327680,00:00:00.1428931,869.424743652344,0.869424743652344
mono,ManagedStatic,1,655360,00:00:00.0015584,3.90380859375,0.00390380859375
mono,ManagedVirtual,1,655360,00:00:00.0029353,7.53067016601562,0.00753067016601562
mono,DllImportDirect,1,655360,00:00:00.1405643,428.107147216797,0.428107147216797
